Signal Legend:

Key        Signal Name

0        = waveform_gen:waveform_gen_inst|en
1        = waveform_gen:waveform_gen_inst|reset
2        = waveform_gen:waveform_gen_inst|phase_inc[31..0]
3        = waveform_gen:waveform_gen_inst|cos_out[11..0]
4        = waveform_gen:waveform_gen_inst|saw_out[11..0]
5        = waveform_gen:waveform_gen_inst|sin_out[11..0]
6        = waveform_gen:waveform_gen_inst|squ_out[11..0]

Data Table:

Signals-> 0 1 2         3    4    5    6    

sample

-799      1 1 00000102h 44Ah D71h 940h 7FFh 
-798      1 1 00000102h 44Ah D71h 940h 7FFh 
-797      1 1 00000102h 44Ah D71h 940h 7FFh 
-796      1 1 00000102h 44Ah D71h 940h 7FFh 
-795      1 1 00000102h 44Ah D71h 940h 7FFh 
-794      1 1 00000102h 44Ah D71h 940h 7FFh 
-793      1 1 00000102h 44Ah D71h 940h 7FFh 
-792      1 1 00000102h 44Ah D71h 940h 7FFh 
-791      1 1 00000102h 44Ah D71h 940h 7FFh 
-790      1 1 00000102h 44Ah D71h 940h 7FFh 
-789      1 1 00000102h 44Ah D71h 940h 7FFh 
-788      1 1 00000102h 44Ah D71h 940h 7FFh 
-787      1 1 00000102h 44Ah D71h 940h 7FFh 
-786      1 1 00000102h 44Ah D71h 940h 7FFh 
-785      1 1 00000102h 44Ah D71h 940h 7FFh 
-784      1 1 00000102h 44Ah D71h 940h 7FFh 
-783      1 1 00000102h 44Ah D71h 940h 7FFh 
-782      1 1 00000102h 44Ah D71h 940h 7FFh 
-781      1 1 00000102h 44Ah D71h 940h 7FFh 
-780      1 1 00000102h 44Ah D71h 940h 7FFh 
-779      1 1 00000102h 44Ah D71h 940h 7FFh 
-778      1 1 00000102h 44Ah D71h 940h 7FFh 
-777      1 1 00000102h 44Ah D71h 940h 7FFh 
-776      1 1 00000102h 44Ah D71h 940h 7FFh 
-775      1 1 00000102h 44Ah D71h 940h 7FFh 
-774      1 1 00000102h 44Ah D71h 940h 7FFh 
-773      1 1 00000102h 44Ah D71h 940h 7FFh 
-772      1 1 00000102h 44Ah D71h 940h 7FFh 
-771      1 1 00000102h 44Ah D71h 940h 7FFh 
-770      1 1 00000102h 44Ah D71h 940h 7FFh 
-769      1 1 00000102h 44Ah D71h 940h 7FFh 
-768      1 1 00000102h 44Ah D71h 940h 7FFh 
-767      1 1 00000102h 44Ah D71h 940h 7FFh 
-766      1 1 00000102h 44Ah D71h 940h 7FFh 
-765      1 1 00000102h 44Ah D71h 940h 7FFh 
